ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,state,subcategory,size,program_exp,fund_exp,admin_exp,predicted_score
100,Religion,"The mission of Global Scholars is to bring glory to God and impact the world by developing godly leaders for every sector of society - government, business, home, church, the arts, law, the sciences, education - as we provide key universities and academic institutions with educational services and Christian faculty who teach and live in such a way as to draw others to faith and transformation in Christ. Global Scholars places faculty from a wide range of disciplines in teaching positions at secular universities outside North America. The vision of Global Scholars is that someday each university student in the world will have at least one professor who articulates and demonstrates the love and lordship of Jesus Christ.",56-1627401,1924983,0.187,0.09,0.094,0.718,76.22,Stanley Wallace,115174.0,0.0598,Equip. Influence. Renew.,Global Scholars,2060139,KS,Religious Activities,small,1382137.794,180948.402,359971.821,83.18576033732825
78,Research and Public Policy,"Global Philanthropy Partnership serves as a strategic resource to promote international giving and raise awareness of global development issues including sustainability. Global Philanthropy Partnership strives to support a better understanding of this field through conducting original research, developing a network of organizations that promote philanthropy, and connecting philanthropists and potential philanthropists so they can share interests and best practices.",56-2342600,4493605,0.034,0.01,0.027,0.937,97.5,April Donnellan,83500.0,0.0185,Connecting and Supporting Philanthropists,Global Philanthropy Partnership,7840065,IL,Social and Public Policy Research,mid,4210507.885,121327.335,152782.57,84.37546086968368
85,International,"Since 1989, Global Partners for Development (GPFD) has worked to achieve an end to hunger throughout the world, especially as it affects the survival and development of children. The purpose of GPFD is to bring outside resources to communities that struggle with the innumerable problems associated with hunger and poverty, and to assist those communities in bringing about appropriate development, improved health, education, and economic self-reliance. GPFD builds partnerships, matching people and resources with community development projects for the purpose of advancing the health and well being of humanity. GPFD has been working on projects that have included development of clean water sources, child nutrition, medical and health care, education, and women's economic self-reliance.",94-2537375,792688,0.083,0.08,0.103,0.813,96.44,D. Casanova,64056.0,0.0808,Ending poverty through the power of partnership,Global Partners for Development,917552,CA,Development and Relief Services,small,644455.344,81646.864,65793.104,89.05914413092941
74,Religion,"Global Outreach Mission's missionaries serving around the globe are engaged in a wide variety of ministries including: church planting, Christian camps, personal work, literature, radio broadcasts, community development, and medical work. Global Outreach Mission representatives have liberty to follow their conviction, and the direction of the Holy Spirit, in choosing methods for communicating the message. Around the world we are using mobile chapels, bookshops, camps, street evangelism, and other methods depending on each situation. In all of our programs, the Gospel is to be proclaimed, the Scriptures are to be taught, converts are to be discipled, and indigenous churches are to be organized.",23-1401559,4300110,0.201,0.01,0.013,0.784,80.8,Brian Albrecht,120716.0,0.028,Our Primary Objective is Winning Souls for Jesus Christ,Global Outreach Mission,4231302,NY,Religious Activities,mid,3371286.24,55901.43,864322.11,77.02632967665548
92,International,"The Global Orphan Project, Inc. (GO Project) is a global orphan care ministry whose mission is to transform lives through orphan care. The GO Project was formed in 2003 to provide shelter and care for the basic needs and positive development of orphaned and impoverished children and their communities in some of the poorest areas of the world. The GO Project has three operating divisions: domestic and international orphan care whereby GO Project works with local churches to help provide family based care for orphans, trips into the Orphan Window, and an impact investment fund called GO Fund that supports vocational training centers, business ventures and agricultural ventures, and whose proceeds raised pay for basic orphan care costs.",81-6079539,7298851,0.127,0.01,0.014,0.858,89.27,Joe Knittig,116150.0,0.0159,Transforming lives through orphan care.,The Global Orphan Project,7796513,MO,Development and Relief Services,mid,6262414.158,102183.914,926954.077,90.53352136246167
96,International,"The mission of Global Minnesota, formerly Minnesota International Center, is to promote international understanding and engagement: we educate, we inspire, and we provide enriching experiences. We are committed to serving Minnesota from a foundation built on the following core values: trust, collaboration, global competency, nonpartisan, intercultural communication, hospitality, and stewardship. From the 2nd grader to the CEO, Global Minnesota connects individuals, organizations, and communities to the world. Through a unique lineup of programs offered from the Twin Cities to Greater Minnesota, Global Minnesota takes relevant and timely information on international issues, foreign policy, and cultural topics, and provides the space and opportunity for Minnesotans to engage and discuss.",41-0826559,1312023,0.093,0.14,0.126,0.779,90.47,Carol Engebretson Byrne,130975.0,0.0998,Connect. Inform. Engage.,Global Minnesota,1225903,MN,"International Peace, Security, and Affairs",small,1022065.917,165314.898,122018.139,92.71046707173623
100,International,Global Links is a medical relief and development organization dedicated to supporting health improvement initiatives in resource-poor communities and promoting environmental stewardship in the US healthcare system.,52-1629060,5309054,0.042,0.02,0.025,0.932,90.99,Kathleen Hower,69000.0,0.0129,Sharing surplus. Saving lives.,Global Links,4907455,PA,Humanitarian Relief Supplies,mid,4948038.328,132726.35,222980.268,93.64379245809076
97,Education,"Founded in 1989, Global Kids (GK) works to develop youth leaders for the global stage through dynamic global education and leadership development programs. Global Kids inspires underserved youth to achieve academic excellence, self-actualization and global competency, and empowers them to take action on critical issues facing their communities and our world. Their vision is to create an ever-growing network of young people from diverse backgrounds who attain leadership on all levels of society and enter fields of international affairs and public policy. 

Young people examine global issues, make local connections, and create change through peer education, social action, digital media, and service-learning, while receiving intensive support from GK staff.",13-3629485,5664319,0.118,0.04,0.034,0.847,89.91,Evie Hantzopoulos,115348.0,0.0203,Developing youth leaders for the global stage,Global Kids,5559981,NY,Youth Education Programs and Services,mid,4797678.193,192586.846,668389.642,92.54327940192793
100,International,"The vast, hidden majority of the world's poorest people live in rural villages, where the vast majority of assistance never reaches. GHNI believes it's possible to bring not only sustainable transformation, but also the accompanying hope of a better future, free from the perpetual cycle of poverty.",75-3088613,2397912,0.116,0.1,0.11,0.772,85.27,Harold Jones,0.0,0.0,Bringing Help & Hope to the Hidden & Hurting,Global Hope Network International,2285309,FL,Development and Relief Services,small,1851188.064,263770.32,278157.792,89.55487284613717
100,"Arts, Culture, Humanities","Global Heritage Fund's (GHF) mission is to protect, preserve and sustain the most significant and endangered cultural heritage sites in the developing world. Since its founding, GHF has focused its efforts in developing countries and regions on preservation and responsible development of the most important and endangered global heritage sites. GHF projects are selected using strict criteria developed by its Board of Trustees and Senior Advisory Board, and our work on each project follows a methodology termed Preservation by Design 庐.",20-5009512,1945280,0.146,0.21,0.171,0.682,67.7,Stefaan Poortman,175000.0,0.0899,Invest in the future.  Preserve the past.,Global Heritage Fund,2105373,CA,"Libraries, Historical Societies and Landmark Preservation",small,1326680.96,332642.88,284010.88,76.9886042464121
96,International,"Established in 1987, Global Health Ministries (GHM) continues the healing ministry of Jesus Christ by enhancing health care programs of Lutheran churches in other countries. GHM funds approved health care projects, scholarships, support for charity patients, capital improvements, and development of appropriate technology. In addition, GHM gathers and ships useful donated health care equipment and supplies to various countries; communicates to groups and congregations the opportunities and needs of the church's overseas health care programs; prays for the church's health care missionaries and those they serve; recruits nurses, dentists, doctors, surgeons, and allied workers for overseas service in training and consultation missions; and advises synods and other groups on health care mission issues.",36-3532234,4091250,0.072,0.03,0.039,0.887,94.7,Rev. Doug Cox,58556.0,0.0143,Helping the hands that heal,Global Health Ministries,4125795,MN,Development and Relief Services,mid,3628938.75,159558.75,294570.0,95.30031973171681
100,International,"Founded in 1993 to support grassroots projects and policy for social environmental justice around the world, Global Greengrants Fund works through networks of over 120 on-the-ground volunteer advisors to locate dynamic, effective projects in environmental justice, preservation, and policy; by year-end 2010 Greengrants will have donated $24 million to 129 developing countries. The fund aims to serve the poorest countries of the world. Poor, rural and indigenous communities not only suffer most the consequences of shifts in rainfall, rising seas, and increased climate variability, they are also the most vulnerable due to economic and environmental policies of the countries in which they live.",84-1612422,11450149,0.058,0.05,0.054,0.887,97.5,Teresa Odendahl,159140.0,0.0138,Protect. Restore. Transform.,Global Greengrants Fund,8837927,CO,Development and Relief Services,mid,10156282.16,618308.046,664108.642,98.23232512494134
100,Environment,"Founded in 1993, Global Green USA (GG USA) is the American arm of Green Cross International (GCI), which was created by President Mikhail S. Gorbachev to foster a global value shift toward a sustainable and secure future by reconnecting humanity with the environment. Global Green is working to address some of the greatest challenges facing humanity. In the United States our work is primarily focused on stemming global climate change by creating green buildings and cities. GG USA's unique approach merges innovative research, cutting-edge community based projects and targeted advocacy. Internationally, Global Green and its affiliates are working toward: eliminating weapons of mass destruction and providing clean, safe drinking water for everyone.",77-0387124,2390592,0.143,0.26,0.175,0.681,75.17,Lester McCabe,180000.0,0.0752,Fostering a global value shift toward a sustainable and secure future,Global Green USA,1751556,CA,Environmental Protection and Conservation,small,1627993.152,418353.6,341854.656,82.47348099095039
90,International,"The Global Fund for Women is a global champion for the human rights of women and girls. We use our powerful networks to find, fund, and amplify the courageous work of women who are building social movements and challenging the status quo. We are committed to getting money and attention where it will make the biggest difference in the fight for gender equality. Since 1987, Global Fund for Women has invested in nearly 5,000 grassroots organizations in 175 countries, helping to win rights for millions of women and girls.",77-0155782,16802041,0.061,0.13,0.125,0.812,88.87,Musimbi Kanyoro,256750.0,0.0152,Advocating for and defending women's human rights,Global Fund for Women,16058625,CA,"International Peace, Security, and Affairs",big,13643257.29,2100255.125,1024924.501,89.41404952451376
100,International,"Global Fund for Children's (GFC) mission is to advance the dignity of children and youth around the world. GFC pursues its mission by making small grants to innovative community-based organizations working with some of the world's most vulnerable children and youth, complemented by a dynamic media program that, through books, documentary photography, and film, highlights the issues affecting children and celebrates the global society in which we all live. Since 1997, Global Fund for Children has invested in 646 grassroots organizations, strengthening thousands of communities and improving the lives of more than 10 million children and youth worldwide.",56-1834887,6244625,0.063,0.15,0.182,0.754,79.75,Susan Goodell,215450.0,0.0345,Advancing the dignity of children and youth worldwide,Global Fund for Children,7938757,DC,Development and Relief Services,mid,4708447.25,1136521.75,393411.375,85.70315621134677
77,International,"GFDD is a non profit, non partisan organization dedicated to the advancement of global collaboration and exchange relevant to Dominican professionals, general audiences and institutions in the homeland and abroad. The Foundation conducts research, enhances public understanding, designs public policies, devises strategies, and offers capacity building in areas crucial to social, economic, democratic and cultural sustainable development. GFDD promotes better understanding and appreciation of Dominican culture, values and heritage in the Dominican Republic, US and worldwide. GFDD creates, facilitates, and implements wider scope international human development projects, building on its own experience, expertise and strong national and international networks.",46-0485203,1680326,0.094,0.08,0.072,0.832,69.48,Natasha Despotovic,33415.0,0.0198,"Fostering Progress, Collaboration and Exchange",Global Foundation for Democracy and Development,1715190,DC,"International Peace, Security, and Affairs",small,1398031.232,120983.472,157950.644,73.24654358109227
100,Research and Public Policy,"In 2003, Global Footprint Network was established to enable a sustainable future where all people have the opportunity to live satisfying lives within the means of one planet. Creating a world where everyone can live well, within the means of one planet, is going to take all of us pulling together toward this common goal. At Global Footprint Network, our programs are designed to influence decision makers at all levels of society and to create a critical mass of powerful institutions using the Footprint to put an end to ecological overshoot and get our economies back into balance.",73-1672982,1905405,0.151,0.17,0.145,0.703,75.8,Mathis Wackernagel,111180.0,0.0583,Advancing the science of sustainability,Global Footprint Network,2081369,CA,Non-Medical Science & Technology Research,small,1339499.715,276283.725,287716.155,82.8718165356054
89,International,"Global Exchange envisions a people centered globalization that values the rights of workers and the health of the planet; that prioritizes international collaboration as central to ensuring peace; and that aims to create a local, green economy designed to embrace the diversity of our communities. As an education and action resource center, we advance our vision by working to ensure our members and constituents are empowered locally and connected globally to create a just and sustainable world. Global Exchange is tackling some of the most critical issues of our time: from the War in Iraq to oil consumption and global climate change, from the exploitation of the global economy to the creation of the local green economy.",94-3066686,1843221,0.025,0.18,0.068,0.905,77.5,Jeffrey Ordower,36519.0,0.0198,Building people-to-people ties,Global Exchange,1804225,CA,"International Peace, Security, and Affairs",small,1668115.005,125339.028,46080.525,82.30793766991852
96,International,Global Communities is an international non-profit organization that works closely with communities worldwide to bring about sustainable changes that improve the lives and livelihoods of the vulnerable. Development is not something we do for people; it is something we do with them. We believe that the people who understand their needs best are the people of the community itself.,52-0846183,136557715,0.132,0.01,0.009,0.857,80.0,David Weiss,450206.0,0.0032,Partners For Good,Global Communities,133777328,MD,Development and Relief Services,big,117029961.8,1229019.435,18025618.38,85.5393664793101
93,International,"The Global Alliance for Improved Nutrition (GAIN) is an international organization that was launched at the UN in 2002 to tackle the human suffering caused by malnutrition. GAIN is driven by the vision of a world without malnutrition. We act as a catalyst 鈥?building alliances between governments, business and civil society 鈥?to find and deliver solutions to the complex problem of malnutrition. We focus our efforts on children, girls and women because we know that helping them have sustainable, nutritious diets is crucial to ending the cycle of malnutrition and poverty. By building alliances that deliver impact at scale, we believe that we can eliminate malnutrition within our lifetimes.",98-0404435,46969174,0.169,0.03,0.032,0.797,75.47,Lawrence Haddad,89598.0,0.0019,Working to eliminate malnutrition within our lifetimes.,Global Alliance for Improved Nutrition,46992006,DC,"International Peace, Security, and Affairs",big,37434431.68,1503013.568,7937790.406,81.95613361911653
100,International,"Global AIDS Interfaith Alliance (GAIA) was founded in June 2000 in response to the global HIV/AIDS epidemic. GAIA provides basic health services, targeting prevention, care, and support in communities affected by HIV/AIDS, TB and malaria in Africa. We currently work in Malawi, a small country located in Sub-Saharan Africa at the epicenter of the global HIV/AIDS epidemic where 44,000 people die of AIDS-related illnesses each year and over 610,000 children have been orphaned because of the disease. In total, over one million of the 16 million people in Malawi are orphaned children.",94-3364364,2861625,0.04,0.11,0.107,0.851,86.24,Todd Schafer,151200.0,0.0528,"ENDING AIDS ONE CHILD, ONE NURSE, ONE VILLAGE AT A TIME",Global AIDS Interfaith Alliance,2640059,CA,Development and Relief Services,small,2435242.875,306193.875,114465.0,90.25095383388671
89,Religion,"Founded in 1990, Global Advance (GA) provides training and resources for one million pastors and church leaders in needy areas of the world. We believe empowering national church leaders is the most strategic, cost effective, and culturally sensitive way to advance the Gospel. GA exists to help fulfill the Great Commission of Jesus Christ by empowering national church leaders to evangelize and disciple their own and surrounding nations. GA goes where these leaders are, to some of the most impoverished nations on earth, to provide them with the training, resources, and encouragement they so desperately need.",75-2332727,2285191,0.124,0.08,0.089,0.785,91.12,Jonathan Shibley,96651.0,0.0422,"Convening, collecting, and commissioning leaders in the global Body of Christ to become catalysts for fulfilling the Great Commission",Global Advance,2448976,TX,Religious Activities,small,1793874.935,203381.999,283363.684,90.01860120012712
96,Religion,"Global Action engages and empowers the Global Church into action, helping the Church to fulfill the Great Commission: Christ's great cause for Christians to make disciples of all nations.",84-1471157,440176,0.141,0.08,0.102,0.756,72.31,Robert Smith,0.0,0.0,Deploying the Global Church for action!,Global Action,502959,CO,Religious Activities,small,332773.056,44897.952,62064.816,80.21400095420451
85,"Arts, Culture, Humanities","Glimmerglass Opera is a professional summer opera company dedicated to producing new productions each season. The company's mission is to produce new, little-known and familiar operas and works of music theater in innovative productions which capitalize on the intimacy and natural setting of the Alice Busch Opera Theater; to promote an artistically-challenging work environment for young American performers; and to engage important directors, designers and conductors who provide high standards of achievement. Today, Glimmerglass Opera presents four works in new productions each Festival Season and attracts an international audience to the scenic Cooperstown area, where the talent of singers, directors, designers and staff from across the world converges in the Alice Busch Opera Theater to produce world-class opera.",16-1053970,8631902,0.082,0.25,0.128,0.788,85.25,Francesca Zambello,,,"Producing new, little known, and familiar operas and works of music theater",Glimmerglass Festival,8864154,NY,Performing Arts,mid,6801938.776,1104883.456,707815.964,85.10960045000928
93,Education,"Glenwood Academy nurtures and educates good kids from challenging situations by inspiring excellence, building character, and strengthening community. Located in Glenwood, Ill., 35 miles south of Chicago, Glenwood Academy is a supportive learning community serving over 150 children ranging from ages 7 to 18. Nearly 100% of our children live at or below the poverty line and 92% come from single parent households. For more than 130 years, Glenwood Academy has fought to eliminate the impact of trauma and miseducation on children's lives. We are not the last resort for ""bad kids,"" but rather, the first choice for scholars and tomorrow's leaders who will make an incredible mark on this world.",36-2167087,5194293,0.149,0.13,0.129,0.72,73.78,Mary Hollie,341880.0,0.0658,"Glenwood Academy eradicates poverty, injustice, and inequality through the power of residential education.",Glenwood Academy,12880404,IL,Youth Education Programs and Services,mid,3739890.96,670063.797,773949.657,80.73355925955465
89,International,"Gleanings For The Hungry partners with other mission organizations in approximately 40 nations by providing food products to distribute along with the message of the Gospel. In addition to dried fruit and soup mix, we often provide beans, rice, cereal, and energy bars. We offer a Discipleship Training School each fall, including an outreach trip for a hands on experience with the distribution of food and the Gospel to those in need.",77-0170546,6578862,0.03,0.01,0.009,0.959,96.38,Fritz Meier,0.0,0.0,Our abundance - Their need,Gleanings For The Hungry,6662013,CA,Humanitarian Relief Supplies,mid,6309128.658,59209.758,197365.86,91.86881991674937
90,International,"Founded in 1998, Gleaning For The World (GFTW) seeks to provide life-saving support to communities in critical need throughout the world by applying a powerful concept that we call gleaning. We provide surplus medical and essential supplies to humanitarian projects worldwide. GFTW provides expedited distribution channels, efficient logistical support and dependable service between corporate donors and mission groups at the lowest possible cost. We believe that all God's children are created equal and are deserving of a compassionate and reliable source of critical supplies, regardless of ethnic, religious or cultural background.",54-1930105,35558039,0.011,0.01,0.005,0.982,80.0,The Rev. Ronald T. Davidson,120067.0,0.0033,Providing life-saving support to communities in critical need throughout the world,Gleaning for the World,34685555,VA,Development and Relief Services,big,34917994.3,177790.195,391138.429,84.19129553565823
97,Human Services,"Gleaners Food Bank of Indiana, Inc. was founded in 1980. Ever since, we have grown as hunger has grown - fighting the crisis in central and southeastern Indiana every step of the way. Gleaners works to end hunger by engaging individuals and communities to provide food for people in need. We accomplish our mission by securing, storing and redistributing donated food to more than 250 charities, including food pantries, senior centers, shelters for battered women and children, homeless shelters, residential care centers, soup kitchens, faith-based nonprofits, and youth programs. Gleaners is grateful for the food and critical grocery items that come from more than 400 companies and organizations, and from hundreds of individuals.",35-1483868,45462977,0.012,0.04,0.049,0.938,86.52,John Elliott,49453.0,0.001,Food for today. Hope for tomorrow.,Gleaners Food Bank of Indiana,55675602,IN,"Food Banks, Food Pantries, and Food Distribution",big,42644272.43,2227685.873,545555.724,90.24229066763417
93,Human Services,"Gleaners Community Food Bank, with broad community support, fights hunger in southeastern Michigan. In collaboration with our member agencies, the Feeding America network, and our program partners, we provide millions of pounds of donated and purchased food to people in need. In so doing, Gleaners is committed to distributing high quality food. Through education and advocacy, we will reduce reliance on the emergency food system. Gleaners adopts best practices and cost effective systems and procedures to achieve the highest possible return on its human and financial resources. Gleaners fulfills its role with a sense of compassion and urgency while nourishing, sustaining and advancing hope in our community.",38-2156255,110132479,0.01,0.03,0.035,0.954,92.5,Gerald Brisson,170006.0,0.0015,Nourishing communities by feeding hungry people,Gleaners Community Food Bank of Southeastern Michigan,110747288,MI,"Food Banks, Food Pantries, and Food Distribution",big,105066385.0,3854636.765,1101324.79,92.8120660010749
97,Human and Civil Rights,"Through strategic litigation, public policy advocacy, and education, Gay & Lesbian Advocates & Defenders works in New England and nationally to create a just society free of discrimination based on gender identity and expression, HIV status, and sexual orientation.",04-2660498,3445443,0.106,0.12,0.133,0.76,86.49,Janson Wu,154430.0,0.0448,Equal justice under law,GLBTQ Legal Advocates & Defenders (GLAD),4750432,MA,Advocacy and Education,small,2618536.68,458243.919,365216.958,90.18313376999016
100,Health,"Since 1978, the Glaucoma Research Foundation has funded innovative research and provided educational materials about glaucoma. Glaucoma is the leading cause of preventable blindness. We work to prevent vision loss from glaucoma by investing in innovative research, education, and support with the ultimate goal of finding a cure. Our donors have contributed over $50 million dollars to this cause. While we do not conduct research ourselves, we work closely with the research community to make progress towards a cure for glaucoma.",94-2495035,3662647,0.033,0.12,0.109,0.856,86.16,Thomas M. Brunner,246394.0,0.0672,We're dedicated to improving the lives of glaucoma patients and funding innovative research to find a cure.,Glaucoma Research Foundation,5048952,CA,"Diseases, Disorders, and Disciplines",mid,3135225.832,399228.523,120867.351,90.1838529885188
86,Health,"The mission of The Glaucoma Foundation (TGF) is to fund groundbreaking research and to educate the public about the disease and the importance of early detection to prevent blindness. Founded in1984 by Dr. Robert Ritch, TGF is one of the premier organizations dedicated to eradicating blindness from glaucoma through vital research and education. The Foundation works to encourage and support basic and applied research in glaucoma, to gain and disseminate new information about the causes and treatment of glaucoma, and to further efforts to identify and develop novel approaches to preserve visual function and reverse blindness caused by glaucoma. Glaucoma is a group of eye diseases which in most cases produce increased pressure within the eye. Over time, it causes damage to the optic nerve.",13-3174839,1584141,0.098,0.11,0.11,0.791,89.17,Scott Christensen,224954.0,0.142,Funding groundbreaking research and educating the public about glaucoma,The Glaucoma Foundation,1544190,NY,"Diseases, Disorders, and Disciplines",small,1253055.531,174255.51,155245.818,87.49289027930375
86,Human Services,"Gladden Community House is a settlement house serving Franklinton and its surrounding neighborhoods. We are a United Way affiliated non-profit agency providing education and recreation programs, emergency assistance, and advocacy and support for individuals, families, and groups. We do this to preserve and strengthen the well being of the community and its members, and to help and inspire community members to resolve their problems and control the shape of their lives.",31-4379476,1982463,0.083,0.04,0.039,0.876,94.54,Joy Chivers,65612.0,0.033,A settlement house serving Franklinton and its surrounding neighborhoods.,Gladden Community House,1978245,OH,Social Services,small,1736637.588,77316.057,164544.429,89.43872852810587
96,Environment,"The Glacier National Park Conservancy assures the Glacier National Park experience by providing support for preservation, education, and research through philanthropy and outreach. The Conservancy is the result of a merger between the Glacier National Park Fund and the Glacier Association in 2013 to better serve the park. Together the new organization becomes the only non-profit fundraising partner for Glacier National Park. Funds are raised through philanthropy and our stores continuing the strong legacy of the former organizations.",56-2579734,3780898,0.113,0.13,0.092,0.794,85.9,Doug Mitchell,54371.0,0.0143,The official non-profit fundraising partner of Glacier National Park,Glacier National Park Conservancy,4052527,MT,Environmental Protection and Conservation,mid,3002033.012,347842.616,427241.474,89.63063350425796
96,International,"Giving Children Hope is a faith-based partner providing sustainable hope through wellness programs and disaster response in collaboration with local and global communities. We do this through the gathering and giving of Basic Needs, Nutritional Foods & Medical Resources.",95-3464287,31534281,0.01,0.01,0.004,0.985,87.5,This organization did not report a CEO,,,Across the Street and Around the World,Giving Children Hope,34419579,CA,Humanitarian Relief Supplies,big,31061266.79,126137.124,315342.81,90.70251426183749
92,International,"Give2Asia strengthens communities throughout Asia by building trusted networks for charitable investment. We make it possible to support local organizations in Asia addressing critical issues such as healthcare, education, livelihood, and the environment. We build long-term connections between donors and local programs in Asia by fostering trust and accountability on both sides of the relationship. Give2Asia has a team of local staff, advisors and partners that ensure projects are effective, results are transparent, and grant recipients are accountable. We report on activities to certify that projects meet the needs of the target beneficiaries and the donor, and we try to find new ways to expand sources of funding.u",94-3373670,29108947,0.016,0.01,0.01,0.972,80.0,Birger Stamperdahl,144024.0,0.0049,Local knowledge counts,Give2Asia,27059420,CA,Development and Relief Services,big,28293896.48,291089.47,465743.152,84.73788680496901
96,International,"Give To Colombia (G2C) aims to create, promote and facilitate alliances between international donors and Colombian grassroots organizations. We advise donors in how to channel grants, talents and technologies to achieve scalable, sustainable and high impact projects. We deliver world-class expertise in project identification, monitoring, advising services, and transparent grant management for achieving maximum impact on every dollar channeled to Colombian philanthropic activities. Our work helps to optimize the social impact of private and institutional donors.",26-0073580,682949,0.082,0.06,0.07,0.846,79.88,Angela M. Tafur,,,Making a real difference for people in need in Colombia.,Give to Colombia,689286,FL,Development and Relief Services,small,577774.854,47806.43,56001.818,85.43911508052929
100,Health,"Give Kids The World Village exists exclusively to fulfill the wishes of all critically ill children -- and their families -- who want to experience a cost-free, dream vacation in the theme park capital of the world -- Orlando, Florida.",59-2654440,50252852,0.019,0.06,0.054,0.925,98.06,Pamela Landwirth,281959.0,0.0056,Where Happiness Inspires Hope,Give Kids The World Village,50614930,FL,Patient and Family Support,big,46483888.1,2713654.008,954804.188,98.64511129452846
92,Human Services,"Give an Hour's mission is to develop national networks of volunteers capable of responding to both acute and chronic conditions that arise within our society. By harnessing the skill and expertise of volunteer professionals, we are able to increase the likelihood that those in need receive the support and care they deserve. Since 2005 we have focused on providing free mental health care to active duty, National Guard and Reserve service members, veterans, and their families. In 2016, we began expanding our efforts to address the mental health needs of other populations.",61-1493378,2352831,0.054,0.07,0.069,0.875,92.5,Barbara Van Dahlen,215800.0,0.0917,Giving help and hope,Give an Hour,1838262,MD,Social Services,small,2058727.125,162345.339,127052.874,92.25179650360829
100,International,"Givat Haviva Educational Foundation (GHEF) in New York City is the American arm representing and supporting Givat Haviva Institute. The Foundation comprises a community of supporters and activists who work to increase awareness of Givat Haviva Institute's role in advancing Jewish-Arab relations in Israel. Founded in 1949 by the Kibbutz Artzi Movement, a federation of 83 kibbutzim throughout Israel, Givat Haviva Institute has been educating for peace, democracy, coexistence and social solidarity for half a century. Programs include academic and professional courses; empowerment seminars for Jewish and Arab women and for municipal leaders; dialogue and encounter groups; inter-organizational partnerships; educational curricula and research; and joint Jewish-Arab athletic and arts programs for youth.",13-2584337,978678,0.166,0.06,0.046,0.786,85.67,Linda Rubin,76000.0,0.0776,Furthering Equality and Understanding between Jews and Arabs in Israel,Givat Haviva Educational Foundation,872541,NY,"International Peace, Security, and Affairs",small,769240.908,45019.188,162460.548,89.87463230854554
74,Religion,"Since its doors have opened in 1965, Or Chadash has been family to 1000's of girls who were at-risk living at home with their families of origin. Some of the students come from situations in which they were severely neglected and lived in great stress. Some experienced physical or emotional abuse. Most students who arrive at Or Chadash, suffer from deep emotional unrest and have little self-confidence. In turn, these insecurities often cause the girls to act out in unhealthy and self-destructive ways. In providing these girls with an alternative, Or Chadash has given these girls hope for a better tomorrow and a promise of high standards in education and personal values. For over 50 years, Girls Town Or Chadash has been a home, as well as a center for education, which services the daughters of families in distress from all across Israel. The campus of Or Chadash is 40 acres large located in Rechasim at the foothills of Mount Carmel, in northern Galil. Surrounded by mountain and trees, the environment produces a serene atmosphere which provides the girls with a quiet refuge from their turbulent lives.",11-6156180,4542113,0.081,0.05,0.055,0.862,77.5,Rabbi Yisroel Singer-Taussig,36400.0,0.008,The promise of tomorrow comes from the children of today,Girls' Town/Or Chadash,4439493,NY,Religious Activities,mid,3915301.406,249816.215,367911.153,75.54502659764962
93,Human Services,"Girls on the Run is dedicated to creating a world where every girl knows and activates her limitless potential and is free to boldly pursue her dreams. We inspire girls to be joyful, healthy and confident using a fun, experience-based curriculum which creatively integrates running. Meeting twice a week in small teams of 8-20 girls, we teach life skills through dynamic, interactive lessons and running games. The 24-lesson curriculum is taught by certified Girls on the Run coaches and includes three parts: understanding ourselves, valuing relationships and teamwork and understanding how we connect with and shape the world at large.",56-2201835,4945610,0.175,0.18,0.107,0.716,83.67,Elizabeth Kunz,176946.0,0.0357,"Inspiring girls to be joyful, healthy and confident.",Girls on the Run International,6571090,NC,"Youth Development, Shelter, and Crisis Services",mid,3541056.76,529180.27,865481.75,87.4372796736936
89,Human Services,"Girls Inc. of Worcester inspires all girls to be strong, smart, and bold. We put our mission into practice through The Girls Inc. Experience, which equips girls to navigate gender, economic and social barriers and grow into healthy, educated and independent adults.",04-2123666,1581528,0.146,0.08,0.11,0.742,92.3,Victoria Waterman,99308.0,0.0627,"Inspiring all girls to be strong, smart, and bold",Girls Inc. of Worcester,1753610,MA,"Youth Development, Shelter, and Crisis Services",small,1173493.776,173968.08,230903.088,90.50297708478479
89,Human Services,"Formed in 1973, Girls Inc. of Sarasota County is a local affiliate of Girls Inc., an organization dedicated to inspiring all girls to be strong, smart and bold. Girls Inc. fulfills its mission of empowering girls aged six and up to be self-confident, responsible and well-rounded individuals by delivering research-based, age-appropriate, after-school and summer educational and sports programs designed specifically for girls. The primary areas of Girls Inc. programming focus on literacy, math and science, career and life planning, health and sexuality, leadership and community action, sports and adventure, self-reliance and life skills, and culture and heritage. Girls Inc. programs are designed to serve all girls regardless of a girl's socio-economic, ethnic or religious background.",23-7363275,1454594,0.133,0.13,0.094,0.772,91.8,Angela Stringer,101072.0,0.0694,"Inspiring all girls to be strong, smart and bold",Girls Inc. of Sarasota County,1434480,FL,"Youth Development, Shelter, and Crisis Services",small,1122946.568,136731.836,193461.002,90.26943664970749
